PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,23.23,,False
CALL,23.23,,False
CALL,23.25,,False
CALL,23.26,,False
CALL,23.32,,False
CALL,23.33,,False
PUT ,23.35,8.080280616546668,True
PUT ,23.35,8.047615068126639,True
PUT ,23.35,5.785172735435619,True
PUT ,23.36,7.138963874665838,True
CALL,23.4,,False
CALL,23.41,,False
PUT ,23.41,8.015324757289822,True
PUT ,23.42,5.666576194806754,True
PUT ,23.46,5.530643558285872,True
CALL,23.46,,False
PUT ,23.5,7.366060731719797,True
CALL,23.51,,False
CALL,23.56,,False
PUT ,23.57,8.446246687029772,True
PUT ,23.59,5.7129750283016,True
CALL,23.65,,False
PUT ,23.7,5.487070051626889,True
PUT ,23.71,5.736333935068949,True
CALL,23.72,,False
CALL,23.83,,False
CALL,23.83,,False
PUT ,23.86,7.238368742649859,True
PUT ,23.88,6.097282844373908,True
PUT ,24.0,17.1021751153833,True
CALL,24.02,,False
CALL,24.06,,False
PUT ,24.1,5.604294690145477,True
CALL,24.18,,False
PUT ,24.19,12.6134032672505,True
CALL,24.34,,False
CALL,24.38,,False
PUT ,24.39,5.424464671166275,True
PUT ,24.4,17.427779789139315,True
CALL,24.54,,False
PUT ,24.64,5.85386872724706,True
CALL,24.67,,False
PUT ,24.69,5.404568187258356,True
CALL,24.75,,False
PUT ,24.86,10.965336464719822,True
CALL,24.94,,False
CALL,25.01,,False
PUT ,25.03,5.385219915772243,True
PUT ,25.13,7.639812083586341,True
CALL,25.2,,False
PUT ,25.37,17.710425747372046,True
CALL,25.39,,False
PUT ,25.4,5.3664150201413685,True
CALL,25.45,,False
CALL,25.67,,False
PUT ,25.68,5.948592109111458,True
CALL,25.77,,False
PUT ,25.78,7.879754121279552,True
CALL,25.87,,False
PUT ,25.97,5.972270658431319,True
CALL,26.14,,False
PUT ,26.15,5.486553417083466,True
CALL,26.19,,False
PUT ,26.25,5.996006426854496,True
CALL,26.34,,False
PUT ,26.5,6.196008165810851,True
CALL,26.5,,False
PUT ,26.53,6.406751824901036,True
CALL,26.63,,False
PUT ,26.85,7.644884179828929,True
CALL,26.89,,False
PUT ,26.89,5.296492092223014,True
CALL,26.9,,False
CALL,27.16,,False
PUT ,27.19,16.591973557081186,True
CALL,27.27,,False
PUT ,27.28,5.744769841283588,True
CALL,27.4,,False
PUT ,27.51,8.974159933490297,True
CALL,27.63,,False
CALL,27.65,,False
PUT ,27.65,5.418820351658062,True
PUT ,27.83,10.480270523457138,True
CALL,27.84,,False
CALL,28.04,,False
PUT ,28.05,5.4033755341772665,True
CALL,28.05,,False
PUT ,28.14,7.94709841713294,True
CALL,28.21,,False
PUT ,28.43,7.795147282153596,True
PUT ,28.44,5.2350656239340845,True
CALL,28.44,,False
CALL,28.61,,False
PUT ,28.71,6.186055933419618,True
CALL,28.76,,False
CALL,28.86,,False
PUT ,28.87,5.221194246475534,True
CALL,28.88,,False
PUT ,29.13,8.039428589993152,True
CALL,29.27,,False
PUT ,29.29,5.207835619870548,True
CALL,29.29,,False
CALL,29.35,,False
PUT ,29.4,6.2335805404247004,True
CALL,29.4,,False
PUT ,29.73,5.195143507068479,True
CALL,29.74,,False
CALL,29.78,,False
PUT ,29.8,9.0322531471897,True
CALL,30.15,,False
CALL,30.16,,False
CALL,30.19,,False
PUT ,30.19,5.182962185211796,True
PUT ,30.21,6.281165124702729,True
PUT ,30.45,8.162559082212255,True
CALL,30.45,,False
CALL,30.52,,False
PUT ,30.67,5.171394564412419,True
CALL,30.68,,False
CALL,30.82,,False
PUT ,30.85,10.847073547120566,True
CALL,31.03,,False
PUT ,31.14,5.160285712128607,True
CALL,31.16,,False
CALL,31.18,,False
PUT ,31.24,8.035846119402475,True
CALL,31.38,,False
PUT ,31.46,6.750005973728054,True
PUT ,31.61,5.1496358751008415,True
CALL,31.62,,False
CALL,31.73,,False
CALL,31.81,,False
PUT ,31.84,11.745657853325685,True
CALL,32.08,,False
PUT ,32.09,5.139445580014617,True
CALL,32.11,,False
CALL,32.15,,False
PUT ,32.22,6.800379152636476,True
CALL,32.49,,False
PUT ,32.56,5.129715637848924,True
CALL,32.57,,False
PUT ,32.6,8.156233327183772,True
CALL,32.71,,False
CALL,32.82,,False
PUT ,32.97,16.67742243059628,True
CALL,33.03,,False
PUT ,33.04,5.120395282969197,True
CALL,33.06,,False
CALL,33.16,,False
PUT ,33.34,25.129719504181676,True
CALL,33.36,,False
PUT ,33.52,5.111485691495534,True
CALL,33.53,,False
CALL,33.68,,False
PUT ,33.71,18.034273802440627,True
PUT ,33.99,5.102988280210971,True
CALL,34.0,,False
CALL,34.02,,False
PUT ,34.08,15.225854605546738,True
CALL,34.32,,False
PUT ,34.44,13.657479953233942,True
PUT ,34.46,5.244036990740532,True
CALL,34.49,,False
CALL,34.49,,False
CALL,34.64,,False
CALL,34.79,,False
PUT ,34.8,20.12240606994992,True
PUT ,34.94,5.0871324829000155,True
CALL,34.96,,False
CALL,34.97,,False
CALL,35.09,,False
PUT ,35.16,7.001939755993224,True
CALL,35.27,,False
CALL,35.4,,False
PUT ,35.42,5.079777744930833,True
CALL,35.45,,False
PUT ,35.52,20.26769420041888,True
CALL,35.7,,False
PUT ,35.87,10.815085159050748,True
PUT ,35.89,5.072580718363453,True
CALL,35.92,,False
PUT ,36.22,6.685763735505482,True
PUT ,36.37,5.0657523961099304,True
CALL,36.4,,False
PUT ,36.56,21.565462713175453,True
PUT ,36.84,5.059295148967392,True
CALL,36.87,,False
PUT ,37.13,6.733349242519786,True
PUT ,37.31,5.053105929926725,True
CALL,37.36,,False
PUT ,37.47,6.757207512204383,True
PUT ,37.79,5.047080749645253,True
PUT ,37.81,46.52193658828963,True
CALL,37.83,,False
PUT ,38.15,21.651975419824602,True
PUT ,38.26,5.041486337263727,True
CALL,38.3,,False
PUT ,38.49,6.828652674331748,True
CALL,38.64,,False
PUT ,38.74,5.0359533726476915,True
CALL,38.77,,False
PUT ,39.05,26.28423344611847,True
PUT ,39.22,5.0307494255046725,True
CALL,39.27,,False
