PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,23.23,,False
CALL,23.23,,False
CALL,23.25,inf,True
CALL,23.26,inf,True
CALL,23.32,inf,True
CALL,23.33,inf,True
PUT ,23.35,8.080280616546668,True
PUT ,23.35,8.047615070323626,True
PUT ,23.35,5.785172784132729,True
PUT ,23.36,7.138963874665838,True
CALL,23.4,,False
CALL,23.41,,False
PUT ,23.41,8.015324762828847,True
PUT ,23.42,5.666576194806754,True
PUT ,23.46,5.530643559406338,True
CALL,23.46,inf,True
PUT ,23.5,7.366060740611685,True
CALL,23.51,inf,True
CALL,23.56,inf,True
PUT ,23.57,8.446246690230813,True
PUT ,23.59,5.7129750283016,True
CALL,23.65,,False
PUT ,23.7,5.487070051941098,True
PUT ,23.71,5.73633398124951,True
CALL,23.72,inf,True
CALL,23.83,inf,True
CALL,23.83,inf,True
PUT ,23.86,7.238368742649859,True
PUT ,23.88,6.097282845278093,True
PUT ,24.0,17.1021751153833,True
CALL,24.02,,False
CALL,24.06,,False
PUT ,24.1,5.604294690145477,True
CALL,24.18,inf,True
PUT ,24.19,12.613403287544452,True
CALL,24.34,,False
CALL,24.38,,False
PUT ,24.39,5.424464671166275,True
PUT ,24.4,17.427779789139315,True
CALL,24.54,inf,True
PUT ,24.64,5.85386872724706,True
CALL,24.67,inf,True
PUT ,24.69,5.404568192975566,True
CALL,24.75,inf,True
PUT ,24.86,10.965336464719822,True
CALL,24.94,inf,True
CALL,25.01,,False
PUT ,25.03,5.385219916277588,True
PUT ,25.13,7.639812083586341,True
CALL,25.2,inf,True
PUT ,25.37,17.710425748086063,True
CALL,25.39,inf,True
PUT ,25.4,5.366415020867916,True
CALL,25.45,,False
CALL,25.67,inf,True
PUT ,25.68,5.948592133269107,True
CALL,25.77,,False
PUT ,25.78,7.879754121279552,True
CALL,25.87,,False
PUT ,25.97,5.972270658431319,True
CALL,26.14,,False
PUT ,26.15,5.486553417083466,True
CALL,26.19,,False
PUT ,26.25,5.996006469311145,True
CALL,26.34,inf,True
PUT ,26.5,6.196008165810851,True
CALL,26.5,,False
PUT ,26.53,6.406751827420676,True
CALL,26.63,,False
PUT ,26.85,7.644884179828929,True
CALL,26.89,inf,True
PUT ,26.89,5.296492092223014,True
CALL,26.9,inf,True
CALL,27.16,,False
PUT ,27.19,16.591973557081186,True
CALL,27.27,,False
PUT ,27.28,5.744769842321362,True
CALL,27.4,,False
PUT ,27.51,8.974159936253217,True
CALL,27.63,,False
CALL,27.65,inf,True
PUT ,27.65,5.418820352005953,True
PUT ,27.83,10.480270523457138,True
CALL,27.84,,False
CALL,28.04,inf,True
PUT ,28.05,5.4033755341772665,True
CALL,28.05,,False
PUT ,28.14,7.94709841713294,True
CALL,28.21,,False
PUT ,28.43,7.795147286301176,True
PUT ,28.44,5.2350656239340845,True
CALL,28.44,inf,True
CALL,28.61,inf,True
PUT ,28.71,6.186055933419618,True
CALL,28.76,,False
CALL,28.86,,False
PUT ,28.87,5.221194247337533,True
CALL,28.88,inf,True
PUT ,29.13,8.039428589993152,True
CALL,29.27,,False
PUT ,29.29,5.2078356208386065,True
CALL,29.29,inf,True
CALL,29.35,inf,True
PUT ,29.4,6.2335805404247004,True
CALL,29.4,inf,True
PUT ,29.73,5.195143507068479,True
CALL,29.74,inf,True
CALL,29.78,,False
PUT ,29.8,9.032253149405589,True
CALL,30.15,,False
CALL,30.16,,False
CALL,30.19,,False
PUT ,30.19,5.182962185211796,True
PUT ,30.21,6.281165158683071,True
PUT ,30.45,8.162559089941638,True
CALL,30.45,,False
CALL,30.52,inf,True
PUT ,30.67,5.171394567541494,True
CALL,30.68,,False
CALL,30.82,inf,True
PUT ,30.85,10.847073549171487,True
CALL,31.03,inf,True
PUT ,31.14,5.160285712128607,True
CALL,31.16,inf,True
CALL,31.18,inf,True
PUT ,31.24,8.035846127811395,True
CALL,31.38,,False
PUT ,31.46,6.750005973728054,True
PUT ,31.61,5.1496358751008415,True
CALL,31.62,,False
CALL,31.73,inf,True
CALL,31.81,inf,True
PUT ,31.84,11.74565785418363,True
CALL,32.08,inf,True
PUT ,32.09,5.1394455812631135,True
CALL,32.11,inf,True
CALL,32.15,,False
PUT ,32.22,6.800379178609702,True
CALL,32.49,,False
PUT ,32.56,5.129715640392449,True
CALL,32.57,,False
PUT ,32.6,8.156233330641369,True
CALL,32.71,inf,True
CALL,32.82,,False
PUT ,32.97,16.67742243059628,True
CALL,33.03,,False
PUT ,33.04,5.120395282969197,True
CALL,33.06,inf,True
CALL,33.16,,False
PUT ,33.34,25.129719504181676,True
CALL,33.36,inf,True
PUT ,33.52,5.111485691495534,True
CALL,33.53,inf,True
CALL,33.68,inf,True
PUT ,33.71,18.034273803860028,True
PUT ,33.99,5.102988282899701,True
CALL,34.0,,False
CALL,34.02,inf,True
PUT ,34.08,15.225854605546738,True
CALL,34.32,inf,True
PUT ,34.44,13.657479953233942,True
PUT ,34.46,5.244037012801455,True
CALL,34.49,inf,True
CALL,34.49,,False
CALL,34.64,inf,True
CALL,34.79,,False
PUT ,34.8,20.122406072668344,True
PUT ,34.94,5.0871324829000155,True
CALL,34.96,,False
CALL,34.97,,False
CALL,35.09,,False
PUT ,35.16,7.001939755993224,True
CALL,35.27,,False
CALL,35.4,,False
PUT ,35.42,5.079777744930833,True
CALL,35.45,,False
PUT ,35.52,20.26769420041888,True
CALL,35.7,,False
PUT ,35.87,10.815085159050748,True
PUT ,35.89,5.072580722649141,True
CALL,35.92,inf,True
PUT ,36.22,6.685763735505482,True
PUT ,36.37,5.065752397982339,True
CALL,36.4,inf,True
PUT ,36.56,21.565462718764607,True
PUT ,36.84,5.059295148967392,True
CALL,36.87,inf,True
PUT ,37.13,6.733349273579164,True
PUT ,37.31,5.053105929926725,True
CALL,37.36,inf,True
PUT ,37.47,6.757207512204383,True
PUT ,37.79,5.04708075324267,True
PUT ,37.81,46.52193659834028,True
CALL,37.83,inf,True
PUT ,38.15,21.651975424546137,True
PUT ,38.26,5.041486339221523,True
CALL,38.3,,False
