PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,23.23,,False
CALL,23.23,inf,True
CALL,23.25,,False
CALL,23.26,,False
CALL,23.32,inf,True
CALL,23.33,inf,True
PUT ,23.35,0.7833681192236612,False
PUT ,23.35,0.7802012530787784,False
PUT ,23.35,0.5657723019149796,False
PUT ,23.36,0.6947023442117877,False
CALL,23.4,,False
CALL,23.41,,False
PUT ,23.41,0.7770707677407184,False
PUT ,23.42,0.5545184493325557,False
PUT ,23.46,0.5412163486971814,False
CALL,23.46,inf,True
PUT ,23.5,0.7163550906445977,False
CALL,23.51,inf,True
CALL,23.56,inf,True
PUT ,23.57,0.8173164494578764,False
PUT ,23.59,0.5590588965696802,False
CALL,23.65,,False
PUT ,23.7,0.5369523439791872,False
PUT ,23.71,0.561344781712318,False
CALL,23.72,inf,True
CALL,23.83,inf,True
CALL,23.83,inf,True
PUT ,23.86,0.7034985018827423,False
PUT ,23.88,0.5959251025975028,False
PUT ,24.0,1.607817129678471,False
CALL,24.02,inf,True
CALL,24.06,inf,True
PUT ,24.1,0.5480829412681409,False
CALL,24.18,,False
PUT ,24.19,1.2046227280704025,False
CALL,24.34,,False
CALL,24.38,,False
PUT ,24.39,0.5308259214570709,False
PUT ,24.4,1.63739384320271,False
CALL,24.54,inf,True
PUT ,24.64,0.5728464372951145,False
CALL,24.67,inf,True
PUT ,24.69,0.5288788962381534,False
CALL,24.75,,False
PUT ,24.86,1.0538101599582574,False
CALL,24.94,inf,True
CALL,25.01,,False
PUT ,25.03,0.5269855178750461,False
PUT ,25.13,0.7429776216906641,False
CALL,25.2,inf,True
PUT ,25.37,1.66394929549408,False
CALL,25.39,,False
PUT ,25.4,0.5251453132852923,False
CALL,25.45,,False
CALL,25.67,,False
PUT ,25.68,0.5821159118703297,False
CALL,25.77,,False
PUT ,25.78,0.7634510411593478,False
CALL,25.87,inf,True
PUT ,25.97,0.5844329841768497,False
CALL,26.14,,False
PUT ,26.15,0.5365682033341215,False
CALL,26.19,inf,True
PUT ,26.25,0.5867557291049308,False
CALL,26.34,,False
PUT ,26.5,0.6059507156206595,False
CALL,26.5,,False
PUT ,26.53,0.624226668028291,False
CALL,26.63,,False
PUT ,26.85,0.743934149074826,False
CALL,26.89,,False
PUT ,26.89,0.5183028129082893,False
CALL,26.9,inf,True
CALL,27.16,,False
PUT ,27.19,1.5667544768834056,False
CALL,27.27,inf,True
PUT ,27.28,0.5611228077022901,False
CALL,27.4,,False
PUT ,27.51,0.8694854750544899,False
CALL,27.63,,False
CALL,27.65,,False
PUT ,27.65,0.5299441264660151,False
PUT ,27.83,1.0103485409304165,False
CALL,27.84,,False
CALL,28.04,,False
PUT ,28.05,0.5284336602061429,False
CALL,28.05,inf,True
PUT ,28.14,0.7728614539454051,False
CALL,28.21,inf,True
PUT ,28.43,0.7585564499644658,False
PUT ,28.44,0.5122917563419855,False
CALL,28.44,inf,True
CALL,28.61,,False
PUT ,28.71,0.6053535307127231,False
CALL,28.76,inf,True
CALL,28.86,,False
PUT ,28.87,0.510934334519299,False
CALL,28.88,,False
PUT ,29.13,0.7818406451027927,False
CALL,29.27,inf,True
PUT ,29.29,0.5096270904238616,False
CALL,29.29,,False
CALL,29.35,inf,True
PUT ,29.4,0.6100041819444476,False
CALL,29.4,,False
PUT ,29.73,0.5083850681318384,False
CALL,29.74,inf,True
CALL,29.78,inf,True
PUT ,29.8,0.8756600761724196,False
CALL,30.15,,False
CALL,30.16,,False
CALL,30.19,inf,True
PUT ,30.19,0.5071930309291697,False
PUT ,30.21,0.6146607209051463,False
PUT ,30.45,0.7938151698981253,False
CALL,30.45,,False
CALL,30.52,,False
PUT ,30.67,0.5060610501106458,False
CALL,30.68,,False
CALL,30.82,,False
PUT ,30.85,1.0457101180268713,False
CALL,31.03,inf,True
PUT ,31.14,0.5049739649784865,False
CALL,31.16,,False
CALL,31.18,,False
PUT ,31.24,0.7819791797746384,False
CALL,31.38,,False
PUT ,31.46,0.6597197645405682,False
PUT ,31.61,0.5039317931213557,False
CALL,31.62,inf,True
CALL,31.73,inf,True
CALL,31.81,inf,True
PUT ,31.84,1.129508647690041,False
CALL,32.08,inf,True
PUT ,32.09,0.5029345937465487,False
CALL,32.11,,False
CALL,32.15,,False
PUT ,32.22,0.6646430463655271,False
CALL,32.49,inf,True
PUT ,32.56,0.501982445573312,False
CALL,32.57,,False
PUT ,32.6,0.7936942201608371,False
CALL,32.71,,False
CALL,32.82,inf,True
PUT ,32.97,1.579790610121676,False
CALL,33.03,,False
PUT ,33.04,0.5010703763269854,False
CALL,33.06,inf,True
CALL,33.16,,False
PUT ,33.34,2.3209707949462097,False
CALL,33.36,,False
PUT ,33.52,0.5001985018948631,False
CALL,33.53,,False
CALL,33.68,inf,True
PUT ,33.71,1.7018756214695463,False
PUT ,33.99,0.4993669643241543,False
CALL,34.0,inf,True
CALL,34.02,,False
PUT ,34.08,1.4495630964751915,False
CALL,34.32,,False
PUT ,34.44,1.3067922272714538,False
PUT ,34.46,0.5128508393113494,False
CALL,34.49,inf,True
CALL,34.49,,False
CALL,34.64,,False
CALL,34.79,inf,True
PUT ,34.8,1.8881755602012809,False
PUT ,34.94,0.4978153537390717,False
CALL,34.96,,False
CALL,34.97,,False
CALL,35.09,inf,True
PUT ,35.16,0.6843428417321836,False
CALL,35.27,inf,True
CALL,35.4,inf,True
PUT ,35.42,0.49709563350647473,False
CALL,35.45,,False
PUT ,35.52,1.9018086101394223,False
CALL,35.7,inf,True
PUT ,35.87,1.0445827439243887,False
PUT ,35.89,0.49639134866166035,False
CALL,35.92,,False
PUT ,36.22,0.654253813150078,False
PUT ,36.37,0.49572314918500177,False
CALL,36.4,,False
PUT ,36.56,2.017197919261342,False
PUT ,36.84,0.49509125321973746,False
CALL,36.87,,False
PUT ,37.13,0.6589104239198486,False
PUT ,37.31,0.4944855896340887,False
CALL,37.36,,False
PUT ,37.47,0.6612451405705544,False
PUT ,37.79,0.49389597903312854,False
PUT ,37.81,4.068488836884749,False
CALL,37.83,inf,True
PUT ,38.15,2.0265715273474796,False
PUT ,38.26,0.4933485262433749,False
CALL,38.3,inf,True
PUT ,38.49,0.6682366035659851,False
CALL,38.64,inf,True
PUT ,38.74,0.4928070793595128,False
CALL,38.77,,False
PUT ,39.05,2.429144624172529,False
PUT ,39.22,0.4922978323567752,False
CALL,39.27,inf,True
PUT ,39.38,0.672893337499019,False
CALL,39.5,,False
PUT ,39.69,0.49181582419467806,False
PUT ,39.72,2.309014379767805,False
CALL,39.74,inf,True
PUT ,40.05,0.6775565752511254,False
PUT ,40.16,0.5194991370790591,False
CALL,40.22,,False
PUT ,40.6,1.9315588234316217,False
PUT ,40.63,0.4909028683817668,False
CALL,40.69,inf,True
PUT ,40.93,2.9667750094800374,False
PUT ,41.12,0.5045257338556892,False
CALL,41.18,,False
PUT ,41.25,0.6845484104529269,False
PUT ,41.58,0.4900643823151574,False
PUT ,41.58,0.6868767319500714,False
CALL,41.65,,False
PUT ,42.06,0.4896742191467373,False
CALL,42.11,inf,True
PUT ,42.13,0.7484336428679688,False
CALL,42.14,inf,True
PUT ,42.45,0.6915402243048991,False
PUT ,42.53,0.48929657257548137,False
CALL,42.6,,False
PUT ,42.77,3.118447798398313,False
PUT ,43.0,0.4889369579510378,False
CALL,43.07,,False
PUT ,43.32,0.6961971174322082,False
PUT ,43.45,0.488590176089714,False
CALL,43.55,inf,True
PUT ,43.64,1.199536923439601,False
PUT ,43.92,0.48826180486994863,False
CALL,44.02,inf,True
PUT ,44.39,0.4879466161609999,False
CALL,44.49,,False
CALL,44.63,inf,True
PUT ,44.85,0.48763930107714526,False
CALL,44.95,,False
PUT ,45.32,0.48735094245933097,False
CALL,45.42,,False
PUT ,45.79,0.6126951614660479,False
CALL,45.91,inf,True
PUT ,46.25,0.48679881353177823,False
CALL,46.39,,False
PUT ,46.73,0.48653525782671286,False
CALL,46.87,,False
CALL,47.07,,False
PUT ,47.21,0.4862865585229673,False
CALL,47.35,inf,True
PUT ,47.43,0.9494161378732414,False
PUT ,47.69,0.48603933753681744,False
CALL,47.83,,False
PUT ,48.16,0.4858072631425156,False
CALL,48.32,,False
PUT ,48.65,0.4855840710645663,False
CALL,48.81,,False
PUT ,49.13,0.4853699055791921,False
CALL,49.29,,False
CALL,49.42,inf,True
PUT ,49.62,0.48515916106041357,False
CALL,49.81,inf,True
PUT ,50.1,0.4849634030376057,False
CALL,50.29,,False
PUT ,50.59,0.4847770718833703,False
CALL,50.81,,False
PUT ,51.08,0.48459448909840064,False
PUT ,51.09,2.3971067286981973,False
CALL,51.3,,False
PUT ,51.57,0.49829631242046163,False
CALL,51.7,inf,True
CALL,51.81,,False
PUT ,52.07,0.4842525611031174,False
CALL,52.32,inf,True
PUT ,52.55,0.48409345904745066,False
CALL,52.81,,False
PUT ,53.05,0.4839444170265845,False
CALL,53.31,,False
PUT ,53.52,0.6363302891999888,False
CALL,53.82,,False
CALL,53.91,inf,True
PUT ,54.03,0.49751823329731115,False
CALL,54.33,inf,True
PUT ,54.5,0.49737827143686236,False
CALL,54.84,inf,True
PUT ,54.88,0.7684599897126663,False
PUT ,55.01,0.4834035596191433,False
CALL,55.36,inf,True
PUT ,55.5,0.48328875708651914,False
CALL,55.86,,False
PUT ,55.99,0.4831725569120796,False
CALL,56.39,,False
PUT ,56.46,0.4830611226990477,False
CALL,56.9,inf,True
PUT ,56.97,0.48295453901313395,False
CALL,57.39,,False
PUT ,57.46,0.4828528913910114,False
CALL,57.93,,False
PUT ,57.96,0.48274996629450356,False
CALL,58.44,inf,True
PUT ,58.44,0.49648267138350566,False
PUT ,58.55,0.7917774295470584,False
PUT ,58.93,0.482565708686875,False
CALL,58.97,inf,True
PUT ,59.39,0.496290707969632,False
CALL,59.48,inf,True
PUT ,59.88,0.4823896041461012,False
CALL,60.0,,False
CALL,60.5,inf,True
PUT ,60.82,0.4960337071929942,False
CALL,61.53,inf,True
PUT ,61.71,0.4820697266551249,False
PUT ,61.89,0.8150965559948752,False
CALL,62.52,inf,True
PUT ,62.59,0.49573009272391955,False
CALL,63.46,inf,True
PUT ,64.4,0.4816703657986311,False
PUT ,65.28,0.48155767537159944,False
PUT ,65.37,8.242093355205698,True
CALL,65.46,inf,True
PUT ,66.2,0.481448823109373,False
CALL,66.49,,False
PUT ,67.11,0.536509728388256,False
CALL,67.59,inf,True
PUT ,68.11,0.6053922858426768,False
PUT ,68.53,0.8617403593443788,False
CALL,68.69,inf,True
PUT ,69.12,0.481184069887476,False
CALL,69.89,,False
PUT ,70.15,0.49488778401437317,False
CALL,71.03,inf,True
PUT ,71.09,0.6326967766300015,False
PUT ,71.82,0.9104149090126763,False
PUT ,72.07,0.6326210202184164,False
CALL,72.32,,False
PUT ,73.1,0.4809200050072431,False
CALL,73.55,,False
PUT ,74.23,0.48086659036539703,False
CALL,74.85,inf,True
PUT ,76.2,0.48077087155552173,False
CALL,76.23,inf,True
CALL,77.58,,False
PUT ,78.51,0.4944532800972545,False
PUT ,79.69,0.4944160070539133,False
CALL,80.47,inf,True
PUT ,83.06,0.49432415650909245,False
CALL,83.6,inf,True
CALL,85.14,inf,True
PUT ,86.42,0.6181952674233241,False
PUT ,87.27,0.4942353949014101,False
PUT ,88.72,0.5355022797818019,False
PUT ,90.13,0.5217171210065583,False
PUT ,90.41,0.4804123073482764,False
CALL,90.57,inf,True
PUT ,92.7,1.0045993507626676,False
PUT ,93.82,0.7283381916736603,False
PUT ,94.76,0.7283248772539006,False
PUT ,95.43,0.7283109173527814,False
CALL,96.34,4.482562800193343,False
PUT ,97.84,0.7282962594827579,False
CALL,98.39,3.18748968957703,False
CALL,100.78,2.4455953246969284,False
PUT ,102.66,0.4940843611774014,False
CALL,102.89,1.967457648285554,False
CALL,105.36,4.452755828595821,False
CALL,107.54,4.544676275693993,False
CALL,110.11,1.198871556220451,False
CALL,112.74,1.049177567183649,False
CALL,115.42,0.9277368379072818,False
CALL,118.17,2.421696886545453,False
CALL,130.77,1.4931550931349447,False
PUT ,150.5,0.6868448384885207,False
CALL,203.25,0.15190604165565808,False
