PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,23.23,,False
CALL,23.23,,False
CALL,23.25,inf,True
CALL,23.26,inf,True
CALL,23.32,inf,True
CALL,23.33,inf,True
PUT ,23.35,8.080364825308441,True
PUT ,23.35,8.047688507183812,True
PUT ,23.35,5.7852316204363765,True
PUT ,23.36,7.13906014006557,True
CALL,23.4,,False
CALL,23.41,inf,True
PUT ,23.41,8.01539417743727,True
PUT ,23.42,5.666643265801055,True
PUT ,23.46,5.530674398231309,True
CALL,23.46,inf,True
PUT ,23.5,7.366194891027239,True
CALL,23.51,,False
CALL,23.56,inf,True
PUT ,23.57,8.44629976148058,True
PUT ,23.59,5.713080415468961,True
CALL,23.65,,False
PUT ,23.7,5.487107922082072,True
PUT ,23.71,5.736449700296256,True
CALL,23.72,,False
CALL,23.83,,False
CALL,23.83,inf,True
PUT ,23.86,7.238398850357998,True
PUT ,23.88,6.097430606879169,True
PUT ,24.0,17.10217511540327,True
CALL,24.02,,False
CALL,24.06,inf,True
PUT ,24.1,5.604294690145477,True
CALL,24.18,,False
PUT ,24.19,12.6134032672505,True
CALL,24.34,inf,True
CALL,24.38,inf,True
PUT ,24.39,5.4244646711754685,True
PUT ,24.4,17.427779789139315,True
CALL,24.54,inf,True
PUT ,24.64,5.85386872724706,True
CALL,24.67,inf,True
PUT ,24.69,5.404568187258356,True
CALL,24.75,inf,True
PUT ,24.86,10.965336464765347,True
CALL,24.94,,False
CALL,25.01,inf,True
PUT ,25.03,5.432004335276552,True
PUT ,25.13,7.973469188034688,True
CALL,25.2,,False
PUT ,25.37,18.483604292873572,True
CALL,25.39,,False
PUT ,25.4,5.408743306034037,True
CALL,25.45,inf,True
CALL,25.67,,False
PUT ,25.68,6.236367597620842,True
CALL,25.77,,False
PUT ,25.78,7.940498429722526,True
CALL,25.87,inf,True
PUT ,25.97,6.274359623389723,True
CALL,26.14,inf,True
PUT ,26.15,5.486553417083466,True
CALL,26.19,inf,True
PUT ,26.25,5.996378911377357,True
CALL,26.34,inf,True
PUT ,26.5,6.196008165810851,True
CALL,26.5,,False
PUT ,26.53,6.406913067632569,True
CALL,26.63,inf,True
PUT ,26.85,7.644884179828929,True
CALL,26.89,,False
PUT ,26.89,5.29649668611747,True
CALL,26.9,inf,True
CALL,27.16,inf,True
PUT ,27.19,17.362129576660017,True
CALL,27.27,inf,True
PUT ,27.28,5.766594985744709,True
CALL,27.4,inf,True
PUT ,27.51,9.428983167882134,True
CALL,27.63,inf,True
CALL,27.65,inf,True
PUT ,27.65,5.437035154333274,True
PUT ,27.83,11.025572493666006,True
CALL,27.84,,False
CALL,28.04,inf,True
PUT ,28.05,5.4033755341772665,True
CALL,28.05,,False
PUT ,28.14,7.94709841713294,True
CALL,28.21,,False
PUT ,28.43,7.795147282153596,True
PUT ,28.44,5.235065623954798,True
CALL,28.44,inf,True
CALL,28.61,,False
PUT ,28.71,6.186055933422581,True
CALL,28.76,,False
CALL,28.86,inf,True
PUT ,28.87,5.221194246475534,True
CALL,28.88,,False
PUT ,29.13,8.039428589993152,True
CALL,29.27,inf,True
PUT ,29.29,5.208514946472138,True
CALL,29.29,,False
CALL,29.35,inf,True
PUT ,29.4,6.2335805404247004,True
CALL,29.4,,False
PUT ,29.73,5.195143507068479,True
CALL,29.74,,False
CALL,29.78,,False
PUT ,29.8,9.032253258326705,True
CALL,30.15,,False
CALL,30.16,,False
CALL,30.19,inf,True
PUT ,30.19,5.188543620537535,True
PUT ,30.21,6.583379504969603,True
PUT ,30.45,8.558586785271975,True
CALL,30.45,inf,True
CALL,30.52,,False
PUT ,30.67,5.176350621318683,True
CALL,30.68,inf,True
CALL,30.82,,False
PUT ,30.85,11.372610022364391,True
CALL,31.03,,False
PUT ,31.14,5.160285712128607,True
CALL,31.16,inf,True
CALL,31.18,,False
PUT ,31.24,8.036788450440504,True
CALL,31.38,,False
PUT ,31.46,6.750005973728054,True
PUT ,31.61,5.1496358751008415,True
CALL,31.62,,False
CALL,31.73,,False
CALL,31.81,inf,True
PUT ,31.84,11.745832948588761,True
CALL,32.08,,False
PUT ,32.09,5.139445580014617,True
CALL,32.11,,False
CALL,32.15,,False
PUT ,32.22,6.800379152637341,True
CALL,32.49,,False
PUT ,32.56,5.129715637848924,True
CALL,32.57,,False
PUT ,32.6,8.156233327183772,True
CALL,32.71,inf,True
CALL,32.82,,False
PUT ,32.97,16.677422430596476,True
CALL,33.03,,False
PUT ,33.04,5.12077361857523,True
CALL,33.06,,False
CALL,33.16,inf,True
PUT ,33.34,25.462757986875147,True
CALL,33.36,,False
PUT ,33.52,5.111813517139719,True
CALL,33.53,,False
CALL,33.68,,False
PUT ,33.71,18.299829367326424,True
PUT ,33.99,5.103272440327871,True
CALL,34.0,inf,True
CALL,34.02,,False
PUT ,34.08,15.231701916169849,True
CALL,34.32,,False
PUT ,34.44,13.660935265535246,True
PUT ,34.46,5.244036990740532,True
CALL,34.49,inf,True
CALL,34.49,,False
CALL,34.64,,False
CALL,34.79,,False
PUT ,34.8,20.147491621984393,True
PUT ,34.94,5.0871324829000155,True
CALL,34.96,,False
CALL,34.97,,False
CALL,35.09,,False
PUT ,35.16,7.099768144142458,True
CALL,35.27,,False
CALL,35.4,,False
PUT ,35.42,5.079903900460929,True
CALL,35.45,,False
PUT ,35.52,20.51292517465875,True
CALL,35.7,,False
PUT ,35.87,10.966025962208574,True
PUT ,35.89,5.0726849594432135,True
CALL,35.92,inf,True
PUT ,36.22,7.628771924590079,True
PUT ,36.37,5.0692846665105495,True
CALL,36.4,inf,True
PUT ,36.56,24.563624362915224,True
PUT ,36.84,5.0624737299365,True
CALL,36.87,inf,True
PUT ,37.13,6.734288983271383,True
PUT ,37.31,5.053105929926725,True
CALL,37.36,,False
PUT ,37.47,6.757207512204383,True
PUT ,37.79,5.047464381178307,True
PUT ,37.81,46.5227884854468,True
CALL,37.83,,False
PUT ,38.15,21.65197541982476,True
PUT ,38.26,5.0414863373231364,True
CALL,38.3,inf,True
PUT ,38.49,6.828652674331942,True
