Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,CF_CLOSE_y,DELTA,VEGA,THETA,GAMMA,DELTA_HEDGE,VEGA_HEDGE,THETA_HEDGE,GAMMA_HEDGE,Price_Change,Price_Change_Abs
371,/GDAX175000F0.EX,2019-05-14,2020-06-19,CALL,17500.0,0.1,47.07,11991.62,,,0.0,,,,,,,
374,/GDAX180000R0.EX,2019-07-18,2020-06-19,PUT ,18000.0,7689.0,65.37,12227.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.22999999999956,236.22999999999956
332,/GDAX142500R0.EX,2019-11-20,2020-06-19,PUT ,14250.0,3936.3,37.81,13158.14,0.0794575209232388,1.81492506139682e-06,-55.34543913854395,2.814464450070556e-07,73.91853713967976,0.0016884066353668,-51487.308576196,0.0002618268133256,930.289999999999,930.289999999999
358,/GDAX149000R0.EX,2020-01-15,2020-06-19,PUT ,14900.0,4586.7,42.77,13432.3,0.0072408263262064,0.0,0.0,3.5990948498079986e-07,1.985144945592765,0.0,0.0,9.867278440233605e-05,274.15999999999985,274.15999999999985
348,/GDAX146500R0.EX,2020-01-20,2020-06-19,PUT ,14650.0,4336.5,40.93,13548.94,0.060615129885599,0.0007125346907045,-55.430443254107786,-1.2708518836419068e-06,7.070148749856344,0.0831100463237817,-6465.406901159201,-0.0001482321637079,116.64000000000124,116.64000000000124
367,/GDAX165000F0.EX,2020-02-12,2020-06-19,CALL,16500.0,0.1,42.11,13749.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.84000000000015,200.84000000000015
308,/GDAX136500R0.EX,2020-02-13,2020-06-19,PUT ,13650.0,3336.0,33.34,13745.43,0.4752167872463182,0.1751758433907044,-305.8294608236906,3.010590469543911e-06,-2.067193024521657,-0.7620149187496281,1330.3581545831655,-1.3096068542517109e-05,-4.350000000000364,4.350000000000364
338,/GDAX144000R0.EX,2020-02-14,2020-06-19,PUT ,14400.0,4086.4,39.05,13744.21,0.0901318585784514,1.172674772577711,-125.69877992681177,-5.7592462462335635e-08,-0.1099608674658156,-1.4306632225461724,153.3525115108567,7.026280420411652e-08,-1.2200000000011642,1.2200000000011642
342,/GDAX145000R0.EX,2020-02-21,2020-06-19,PUT ,14500.0,4186.4,39.72,13579.33,0.0641141077757091,0.0002762575395163,-77.42324620886461,-4.849494231045293e-07,-10.571134090058877,-0.0455493431154536,12765.544834917537,7.99584608814744e-05,-164.8799999999992,164.8799999999992
13,/GDAX44000F0.EX,2020-02-26,2020-06-19,CALL,4400.0,5922.7,107.54,12774.88,1.0000000033711134,-1.4884907643370797e-07,3.8627287654555857,-1.1270031867953862e-14,-804.4500027118929,0.000119741639537,-3107.3721553707487,9.066177136175491e-12,-804.4500000000007,804.4500000000007
373,/GDAX180000F0.EX,2020-02-27,2020-06-19,CALL,18000.0,0.1,49.42,12367.46,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-407.4200000000001,407.4200000000001
366,/GDAX160000R0.EX,2020-02-28,2020-06-19,PUT ,16000.0,5687.5,51.09,11890.35,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-477.10999999999876,477.10999999999876
377,/GDAX190000F0.EX,2020-02-28,2020-06-19,CALL,19000.0,0.1,53.91,11890.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
