CF_DATE,stock_profit_next_day,option_profit,net_profit
2019-07-18,93029.0,476497.00000000006,569526.0
2019-11-20,27416.0,77833.70000000007,105249.70000000007
2020-01-15,11664.0,130519.29999999994,142183.29999999993
2020-01-20,19649.0,86120.49999999997,105769.49999999997
2020-02-13,-122.0,-3336.0,-3458.0
2020-02-14,-16488.0,77980.6,61492.600000000006
2020-02-21,-168898.0,256778.59999999998,87880.59999999998
2020-02-28,23734.0,381543.49999999994,405277.49999999994
2020-03-04,-18297.0,211741.80000000005,193444.80000000005
2020-03-05,-131970.0,363511.69999999995,231541.69999999995
2020-03-09,0.0,318961.89999999997,318961.89999999997
2020-03-09,-18634.0,347495.9,328861.9
2020-03-11,0.0,179193.89999999997,179193.89999999997
2020-03-11,-127755.00000000012,326750.00000000006,198994.99999999994
2020-03-12,0.0,297048.00000000006,297048.00000000006
2020-03-12,-71942.0,611542.5000000001,539600.5000000001
2020-03-18,16872.000000000116,505570.9,522442.90000000014
2020-03-19,109014.0,302506.7,411520.7
2020-03-24,-15582.0,402239.0,386657.0
2020-04-01,53042.0,364046.9,417088.9
2020-04-06,28153.000000000116,182441.49999999994,210594.50000000006
2020-04-07,20803.999999999884,-1.2,20802.799999999883
2020-04-09,-26319.999999999884,346359.8999999999,320039.9
2020-04-16,32423.999999999884,170384.59999999995,202808.59999999983
2020-04-17,5012.0,274274.00000000006,279286.00000000006
2020-04-20,-42605.0,470328.19999999995,427723.19999999995
2020-04-21,0.0,257478.79999999996,257478.79999999996
2020-04-21,8624.0,293405.0,302029.0
2020-04-24,32390.0,330314.8,362704.8
2020-04-27,0.0,-0.8,-0.8
2020-04-27,0.0,-0.7,-0.7
2020-04-27,0.0,-1.0,-1.0
2020-04-27,0.0,-0.9,-0.9
2020-04-27,44775.0,42966.20000000002,87741.20000000001
2020-04-29,0.0,166739.70000000004,166739.70000000004
2020-04-29,-24610.0,27918.00000000006,3308.000000000058
2020-04-30,0.0,-0.1,-0.1
2020-04-30,0.0,87387.70000000006,87387.70000000006
2020-04-30,0.0,77482.80000000006,77482.80000000006
2020-04-30,0.0,82435.50000000006,82435.50000000006
2020-04-30,-39484.00000000012,265484.00000000006,225999.99999999994
2020-05-04,0.0,-59.4,-59.4
2020-05-04,0.0,-10.0,-10.0
2020-05-04,0.0,498132.9000000001,498132.9000000001
2020-05-04,0.0,97151.30000000008,97151.30000000008
2020-05-04,26266.000000000116,-9.1,26256.900000000118
2020-05-05,0.0,249118.0000000001,249118.0000000001
2020-05-05,0.0,-2.2,-2.2
2020-05-05,0.0,164966.80000000008,164966.80000000008
2020-05-05,0.0,120411.90000000008,120411.90000000008
2020-05-05,0.0,229317.90000000008,229317.90000000008
2020-05-05,-12326.0,226793.79999999993,214467.79999999993
2020-05-06,0.0,271343.99999999994,271343.99999999994
2020-05-06,0.0,122835.29999999993,122835.29999999993
2020-05-06,0.0,291143.99999999994,291143.99999999994
2020-05-06,0.0,-124.9,-124.9
2020-05-06,0.0,-13.6,-13.6
2020-05-06,0.0,231743.89999999994,231743.89999999994
2020-05-06,29828.0,177165.60000000006,206993.60000000006
2020-05-08,-7949.0,21658.000000000022,13709.000000000022
2020-05-11,0.0,-1.7,-1.7
2020-05-11,-549.0,-15.0,-564.0
2020-05-12,0.0,12277.7,12277.7
2020-05-12,0.0,-1.5,-1.5
2020-05-12,-27684.0,421247.4,393563.4
2020-05-13,0.0,-215.3,-215.3
2020-05-13,0.0,332147.9,332147.9
2020-05-13,0.0,282648.0,282648.0
2020-05-13,0.0,153944.4,153944.4
2020-05-13,-20564.0,313111.99999999994,292547.99999999994
2020-05-14,0.0,105173.69999999995,105173.69999999995
2020-05-14,0.0,-71.5,-71.5
2020-05-14,0.0,-2.0,-2.0
2020-05-14,0.0,-11.1,-11.1
