PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,23.23,,False
CALL,23.23,,False
CALL,23.25,,False
CALL,23.26,,False
CALL,23.32,,False
CALL,23.33,,False
PUT ,23.35,0.010461729027455504,False
PUT ,23.35,0.010419436174982871,False
PUT ,23.35,0.007562932435817248,False
PUT ,23.36,0.00928137868029171,False
CALL,23.4,inf,True
CALL,23.41,,False
PUT ,23.41,0.010377629151436921,False
PUT ,23.42,0.007412998124286739,False
PUT ,23.46,0.007235171453473112,False
CALL,23.46,inf,True
PUT ,23.5,0.009570017353173482,False
CALL,23.51,,False
CALL,23.56,,False
PUT ,23.57,0.01091288874342716,False
PUT ,23.59,0.007473696940232603,False
CALL,23.65,,False
PUT ,23.7,0.007178168721673119,False
PUT ,23.71,0.007504254992584041,False
CALL,23.72,,False
CALL,23.83,,False
CALL,23.83,,False
PUT ,23.86,0.00939762666218266,False
PUT ,23.88,0.007965460644694378,False
PUT ,24.0,0.021401031126333004,False
CALL,24.02,,False
CALL,24.06,,False
PUT ,24.1,0.007326471313887713,False
CALL,24.18,,False
PUT ,24.19,0.01606141334238438,False
CALL,24.34,,False
CALL,24.38,,False
PUT ,24.39,0.007096268549142438,False
PUT ,24.4,0.02179324028393157,False
CALL,24.54,,False
PUT ,24.64,0.007658013658154679,False
CALL,24.67,,False
PUT ,24.69,0.0070702400280599235,False
CALL,24.75,,False
PUT ,24.86,0.014060113609793128,False
CALL,24.94,,False
CALL,25.01,,False
PUT ,25.03,0.0070449286768548185,False
PUT ,25.13,0.009925676270932923,False
CALL,25.2,,False
PUT ,25.37,0.022146685837960478,False
CALL,25.39,,False
PUT ,25.4,0.007020328168327371,False
CALL,25.45,,False
CALL,25.67,,False
PUT ,25.68,0.007781930504570853,False
CALL,25.77,,False
PUT ,25.78,0.010195051052923858,False
CALL,25.87,,False
PUT ,25.97,0.007812906712394025,False
CALL,26.14,,False
PUT ,26.15,0.00717254863366446,False
CALL,26.19,,False
PUT ,26.25,0.007843957774025172,False
CALL,26.34,,False
PUT ,26.5,0.008100015898017742,False
CALL,26.5,,False
PUT ,26.53,0.008340935475395113,False
CALL,26.63,,False
PUT ,26.85,0.009939126501516527,False
CALL,26.89,,False
PUT ,26.89,0.006928855202001008,False
CALL,26.9,,False
CALL,27.16,,False
PUT ,27.19,0.020864344360864522,False
CALL,27.27,,False
PUT ,27.28,0.0074997672400485904,False
CALL,27.4,,False
PUT ,27.51,0.011611024566348807,False
CALL,27.63,,False
CALL,27.65,,False
PUT ,27.65,0.007084001476833942,False
PUT ,27.83,0.013484800116091673,False
CALL,27.84,,False
CALL,28.04,,False
PUT ,28.05,0.007063810530688046,False
CALL,28.05,,False
PUT ,28.14,0.010324903979148299,False
CALL,28.21,,False
PUT ,28.43,0.01013448380811324,False
PUT ,28.44,0.006848497278873383,False
CALL,28.44,,False
CALL,28.61,,False
PUT ,28.71,0.008092579973260888,False
CALL,28.76,,False
CALL,28.86,,False
PUT ,28.87,0.006830350784163632,False
CALL,28.88,,False
PUT ,29.13,0.010444859731411911,False
CALL,29.27,,False
PUT ,29.29,0.006812875068541454,False
CALL,29.29,,False
CALL,29.35,,False
PUT ,29.4,0.008154751522799786,False
CALL,29.4,,False
PUT ,29.73,0.006796271284329909,False
CALL,29.74,,False
CALL,29.78,,False
PUT ,29.8,0.011694270213808592,False
CALL,30.15,inf,True
CALL,30.16,inf,True
CALL,30.19,,False
PUT ,30.19,0.00678033571531391,False
PUT ,30.21,0.008217001534411154,False
PUT ,30.45,0.010604831389294854,False
CALL,30.45,,False
CALL,30.52,inf,True
PUT ,30.67,0.006765202988177671,False
CALL,30.68,,False
CALL,30.82,inf,True
PUT ,30.85,0.013956759827880423,False
CALL,31.03,,False
PUT ,31.14,0.006750670420667137,False
CALL,31.16,,False
CALL,31.18,,False
PUT ,31.24,0.010447416762461916,False
CALL,31.38,,False
PUT ,31.46,0.008818174965381084,False
PUT ,31.61,0.006736738335531114,False
CALL,31.62,,False
CALL,31.73,,False
CALL,31.81,inf,True
PUT ,31.84,0.015071114856996432,False
CALL,32.08,,False
PUT ,32.09,0.006723407421814523,False
CALL,32.11,,False
CALL,32.15,,False
PUT ,32.22,0.008883982241257535,False
CALL,32.49,,False
PUT ,32.56,0.006710678740437756,False
CALL,32.57,,False
PUT ,32.6,0.010603932369407754,False
CALL,32.71,,False
CALL,32.82,,False
PUT ,32.97,0.021045064777193638,False
CALL,33.03,inf,True
PUT ,33.04,0.006698485879875129,False
CALL,33.06,,False
CALL,33.16,,False
PUT ,33.34,0.03083503258955081,False
CALL,33.36,,False
PUT ,33.52,0.0066868303788153866,False
CALL,33.53,,False
CALL,33.68,inf,True
PUT ,33.71,0.022662208054453393,False
PUT ,33.99,0.006675714090634626,False
CALL,34.0,,False
CALL,34.02,,False
PUT ,34.08,0.019320702770589577,False
CALL,34.32,inf,True
PUT ,34.44,0.01742719049126128,False
PUT ,34.46,0.006855507910595148,False
CALL,34.49,,False
CALL,34.49,,False
CALL,34.64,,False
CALL,34.79,,False
PUT ,34.8,0.025127670982108823,False
PUT ,34.94,0.0066549715837651525,False
CALL,34.96,,False
CALL,34.97,,False
CALL,35.09,,False
PUT ,35.16,0.009147300032883925,False
CALL,35.27,,False
CALL,35.4,,False
PUT ,35.42,0.006645350137416896,False
CALL,35.45,,False
PUT ,35.52,0.025309098209441612,False
CALL,35.7,inf,True
PUT ,35.87,0.013944541582843112,False
PUT ,35.89,0.006635935008674098,False
CALL,35.92,,False
PUT ,36.22,0.008746296233701146,False
PUT ,36.37,0.006627002217836967,False
CALL,36.4,,False
PUT ,36.56,0.026835604613394272,False
PUT ,36.84,0.006618554866299754,False
CALL,36.87,,False
PUT ,37.13,0.008808547452468568,False
PUT ,37.31,0.006610458148366047,False
CALL,37.36,,False
PUT ,37.47,0.008839758769867877,False
PUT ,37.79,0.00660257602543012,False
PUT ,37.81,0.05374093975401055,False
CALL,37.83,,False
PUT ,38.15,0.026962130685037257,False
PUT ,38.26,0.006595257431779647,False
CALL,38.3,,False
