Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT
0,/.GDAXI,2020-05-15,,,,10337.02,
233,/GDAX118000F0.EX,2020-05-15,2020-06-19,CALL,11800.0,12.2,23.22
231,/GDAX117500F0.EX,2020-05-15,2020-06-19,CALL,11750.0,14.2,23.23
235,/GDAX118500F0.EX,2020-05-14,2020-06-19,CALL,11850.0,10.5,23.23
237,/GDAX119000F0.EX,2020-05-14,2020-06-19,CALL,11900.0,9.1,23.25
229,/GDAX117000F0.EX,2020-05-15,2020-06-19,CALL,11700.0,16.5,23.26
239,/GDAX119500F0.EX,2020-05-15,2020-06-19,CALL,11950.0,7.9,23.32
227,/GDAX116500F0.EX,2020-05-14,2020-06-19,CALL,11650.0,19.1,23.33
232,/GDAX117500R0.EX,2020-04-30,2020-06-19,PUT ,11750.0,1448.3,23.35
230,/GDAX117000R0.EX,2020-04-30,2020-06-19,PUT ,11700.0,1400.5,23.35
234,/GDAX118000R0.EX,2020-05-14,2020-06-19,PUT ,11800.0,1496.3,23.35
236,/GDAX118500R0.EX,2020-05-06,2020-06-19,PUT ,11850.0,1544.7,23.36
241,/GDAX120000F0.EX,2020-05-15,2020-06-19,CALL,12000.0,6.8,23.4
225,/GDAX116000F0.EX,2020-05-15,2020-06-19,CALL,11600.0,22.2,23.41
228,/GDAX116500R0.EX,2020-04-30,2020-06-19,PUT ,11650.0,1353.2,23.41
238,/GDAX119000R0.EX,2020-05-15,2020-06-19,PUT ,11900.0,1593.3,23.42
226,/GDAX116000R0.EX,2020-05-15,2020-06-19,PUT ,11600.0,1306.2,23.46
243,/GDAX120500F0.EX,2020-05-14,2020-06-19,CALL,12050.0,6.0,23.46
240,/GDAX119500R0.EX,2020-05-05,2020-06-19,PUT ,11950.0,1642.1,23.5
223,/GDAX115500F0.EX,2020-05-15,2020-06-19,CALL,11550.0,25.8,23.51
245,/GDAX121000F0.EX,2020-05-15,2020-06-19,CALL,12100.0,5.2,23.56
